Length, Number Mutants Caught, Average Time Per Mutant, Average Paths Per Mutant
6,1,0.15057182312,2
7,2,0.145249843597,2
8,2,0.145249843597,2
9,3,0.146131594976,2
10,3,0.146131594976,2
11,5,0.142016291618,1
12,7,0.135238085474,1
13,9,0.141727407773,1
14,10,0.144593966007,1
15,10,0.144593966007,1
16,11,0.147203239528,1
17,11,0.147203239528,1
18,11,0.147203239528,1
19,11,0.147203239528,1
20,11,0.147203239528,1
21,13,0.144901786095,1
22,13,0.144901786095,1
23,13,0.144901786095,1
24,13,0.144901786095,1
25,13,0.144901786095,1
26,13,0.144901786095,1
27,13,0.144901786095,1
28,13,0.144901786095,1
29,14,0.145492014431,1
30,14,0.145492014431,1
31,14,0.145492014431,1
32,14,0.145492014431,1
33,14,0.145492014431,1
34,15,0.150190152062,1
35,15,0.150190152062,1
36,15,0.150190152062,1
37,16,0.154623692234,1
38,16,0.154623692234,1
39,16,0.154623692234,1
40,16,0.154623692234,1
41,16,0.154623692234,1
42,17,0.159780535043,1
43,19,0.169527321531,1
44,19,0.169527321531,1
45,19,0.169527321531,1
46,19,0.169527321531,1
47,19,0.169527321531,1
48,19,0.169527321531,1
49,19,0.169527321531,1
50,19,0.169527321531,1
51,19,0.169527321531,1
52,20,0.175173393885,1
53,20,0.175173393885,1
54,21,0.179771279532,1
55,21,0.179771279532,1
56,22,0.185062130292,1
57,22,0.185062130292,1
58,23,0.190146076506,1
59,23,0.190146076506,1
60,23,0.190146076506,1
61,23,0.190146076506,1
62,23,0.190146076506,1
63,23,0.190146076506,1
64,23,0.190146076506,1
65,23,0.190146076506,1
66,24,0.196332497729,1
67,24,0.196332497729,1
68,24,0.196332497729,1
69,24,0.196332497729,1
70,24,0.196332497729,1
71,24,0.196332497729,1
72,24,0.196332497729,1
73,24,0.196332497729,1
74,24,0.196332497729,1
75,24,0.196332497729,1
76,25,0.202324193319,1
77,25,0.202324193319,1
78,25,0.202324193319,1
79,25,0.202324193319,1
80,25,0.202324193319,1
81,25,0.202324193319,1
82,25,0.202324193319,1
83,25,0.202324193319,1
84,25,0.202324193319,1
85,25,0.202324193319,1
86,25,0.202324193319,1
87,25,0.202324193319,1
88,25,0.202324193319,1
89,25,0.202324193319,1
90,25,0.202324193319,1
91,25,0.202324193319,1
92,25,0.202324193319,1
93,25,0.202324193319,1
94,25,0.202324193319,1
95,25,0.202324193319,1
96,25,0.202324193319,1
97,25,0.202324193319,1
98,25,0.202324193319,1
99,25,0.202324193319,1
